
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
======================================================================
Ep   10/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 0.0000 | ε: 0.996
Ep   20/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.991
Ep   30/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.986
Ep   40/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.0000 | ε: 0.981
Ep   50/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 0.0000 | ε: 0.976
New best score: 11 (< 1000, chưa lưu file)
Ep   60/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.0000 | ε: 0.971
Ep   70/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 0.0000 | ε: 0.966
Ep   80/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 0.0000 | ε: 0.961
Ep   90/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 0.0000 | ε: 0.956
Ep  100/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 0.0000 | ε: 0.951
Ep  110/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 0.0000 | ε: 0.946
Ep  120/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.941
Ep  130/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 0.0000 | ε: 0.936
Ep  140/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 0.0000 | ε: 0.931
Ep  150/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.926
Ep  160/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 2.1815 | ε: 0.921
Ep  170/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1.2732 | ε: 0.916
Ep  180/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1.1654 | ε: 0.911
Ep  190/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.8851 | ε: 0.906
Ep  200/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.7560 | ε: 0.901
Ep  210/3000 | Score:      0 | Pieces:  10 | Lines:   0 | Loss: 0.8165 | ε: 0.896
Ep  220/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 0.9528 | ε: 0.891
Ep  230/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1.0018 | ε: 0.886
Ep  240/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1.1345 | ε: 0.881
Ep  250/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1.3763 | ε: 0.876
Ep  260/3000 | Score:      0 | Pieces:  12 | Lines:   0 | Loss: 1.6738 | ε: 0.871
Ep  270/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1.8528 | ε: 0.866
Ep  280/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1.9570 | ε: 0.861
Ep  290/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 2.4954 | ε: 0.856
Ep  300/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 3.1498 | ε: 0.851
Ep  310/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 4.6436 | ε: 0.846
Ep  320/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 4.5231 | ε: 0.841
Ep  330/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 5.0220 | ε: 0.836
Ep  340/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 5.1166 | ε: 0.831
Ep  350/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 5.0434 | ε: 0.826
Ep  360/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 4.3178 | ε: 0.821
Ep  370/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 3.7967 | ε: 0.816
Ep  380/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 4.4818 | ε: 0.811
Ep  390/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 4.2230 | ε: 0.806
Ep  400/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 4.0546 | ε: 0.801
Ep  410/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 4.6082 | ε: 0.796
Ep  420/3000 | Score:      0 | Pieces:  27 | Lines:   0 | Loss: 4.2967 | ε: 0.791
Ep  430/3000 | Score:      0 | Pieces:  26 | Lines:   0 | Loss: 4.8301 | ε: 0.786
Ep  440/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 4.3600 | ε: 0.781
Ep  450/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 3.6369 | ε: 0.776
Ep  460/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 3.7118 | ε: 0.771
Ep  470/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 3.6959 | ε: 0.766
Ep  480/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 4.1318 | ε: 0.761
Ep  490/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 4.0868 | ε: 0.756
Ep  500/3000 | Score:      0 | Pieces:  29 | Lines:   0 | Loss: 3.9934 | ε: 0.751
Ep  510/3000 | Score:      0 | Pieces:  28 | Lines:   0 | Loss: 3.7716 | ε: 0.746
Ep  520/3000 | Score:      0 | Pieces:  26 | Lines:   0 | Loss: 3.6817 | ε: 0.741
Ep  530/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 3.6666 | ε: 0.736
Ep  540/3000 | Score:      0 | Pieces:  29 | Lines:   0 | Loss: 2.7382 | ε: 0.731
Ep  550/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 2.6139 | ε: 0.726
Ep  560/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 2.5799 | ε: 0.721
Ep  570/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2.8331 | ε: 0.716
Ep  580/3000 | Score:     11 | Pieces:  24 | Lines:   1 | Loss: 2.5316 | ε: 0.711
Ep  590/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 3.1774 | ε: 0.706
Ep  600/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2.7402 | ε: 0.701
Ep  610/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 3.1395 | ε: 0.696
Ep  620/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 3.3078 | ε: 0.691
Ep  630/3000 | Score:     11 | Pieces:  26 | Lines:   1 | Loss: 3.3572 | ε: 0.686
Ep  640/3000 | Score:      0 | Pieces:  30 | Lines:   0 | Loss: 2.9532 | ε: 0.681
Ep  650/3000 | Score:      0 | Pieces:  27 | Lines:   0 | Loss: 3.1313 | ε: 0.676
New best score: 41 (< 1000, chưa lưu file)
Ep  660/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 3.3343 | ε: 0.671
Ep  670/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 3.1699 | ε: 0.666
Ep  680/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 3.3836 | ε: 0.661
Ep  690/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 3.6453 | ε: 0.656
Ep  700/3000 | Score:      0 | Pieces:  27 | Lines:   0 | Loss: 2.9776 | ε: 0.651
Ep  710/3000 | Score:      0 | Pieces:  26 | Lines:   0 | Loss: 3.6204 | ε: 0.646
Ep  720/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 4.1205 | ε: 0.641
Ep  730/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 5.2506 | ε: 0.636
Ep  740/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 5.0178 | ε: 0.631
Ep  750/3000 | Score:      0 | Pieces:  28 | Lines:   0 | Loss: 3.5437 | ε: 0.626
Ep  760/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 4.0123 | ε: 0.621
Ep  770/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 3.5328 | ε: 0.616
Ep  780/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 3.1694 | ε: 0.611
Ep  790/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 2.8977 | ε: 0.606
Ep  800/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 2.5079 | ε: 0.601
Ep  810/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 2.7371 | ε: 0.596
Ep  820/3000 | Score:     11 | Pieces:  28 | Lines:   1 | Loss: 3.0445 | ε: 0.591
Ep  830/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 2.8809 | ε: 0.586
New best score: 91 (< 1000, chưa lưu file)
Ep  840/3000 | Score:     22 | Pieces:  36 | Lines:   2 | Loss: 2.2424 | ε: 0.581
Ep  850/3000 | Score:     11 | Pieces:  27 | Lines:   1 | Loss: 2.2594 | ε: 0.576
Ep  860/3000 | Score:     11 | Pieces:  26 | Lines:   1 | Loss: 2.2354 | ε: 0.571
Ep  870/3000 | Score:     11 | Pieces:  26 | Lines:   1 | Loss: 2.6456 | ε: 0.566
Ep  880/3000 | Score:      0 | Pieces:  26 | Lines:   0 | Loss: 2.2563 | ε: 0.561
Ep  890/3000 | Score:      0 | Pieces:  27 | Lines:   0 | Loss: 2.3449 | ε: 0.556
Ep  900/3000 | Score:      0 | Pieces:  26 | Lines:   0 | Loss: 2.5484 | ε: 0.551
Ep  910/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 4.3571 | ε: 0.546
Ep  920/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 2.4788 | ε: 0.541
Ep  930/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 2.7639 | ε: 0.536
Ep  940/3000 | Score:      0 | Pieces:  26 | Lines:   0 | Loss: 2.4210 | ε: 0.531
Ep  950/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 2.2872 | ε: 0.526
Ep  960/3000 | Score:     11 | Pieces:  31 | Lines:   1 | Loss: 3.9327 | ε: 0.521
New best score: 102 (< 1000, chưa lưu file)
Ep  970/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 2.5515 | ε: 0.516
Ep  980/3000 | Score:     22 | Pieces:  31 | Lines:   2 | Loss: 6.7418 | ε: 0.511
Ep  990/3000 | Score:     11 | Pieces:  23 | Lines:   1 | Loss: 3.1029 | ε: 0.506
