
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
======================================================================
Ep   10/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.0000 | ε: 0.996
Ep   20/3000 | Score:     11 | Pieces:  20 | Lines:   1 | Loss: 0.0000 | ε: 0.991
New best score: 11 (< 1000, chưa lưu file)
Ep   30/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 0.0000 | ε: 0.986
Ep   40/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 0.0000 | ε: 0.981
Ep   50/3000 | Score:      0 | Pieces:  29 | Lines:   0 | Loss: 0.0000 | ε: 0.976
Ep   60/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.971
Ep   70/3000 | Score:      0 | Pieces:  12 | Lines:   0 | Loss: 0.0000 | ε: 0.966
Ep   80/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.0000 | ε: 0.961
Ep   90/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.956
Ep  100/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 0.0000 | ε: 0.951
Ep  110/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.946
Ep  120/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.941
Ep  130/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 0.0000 | ε: 0.936
Ep  140/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.931
Ep  150/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.0000 | ε: 0.926
Ep  160/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 2.8357 | ε: 0.921
Ep  170/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.7046 | ε: 0.916
Ep  180/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 0.8368 | ε: 0.911
Ep  190/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 1.1028 | ε: 0.906
Ep  200/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1.6626 | ε: 0.901
Ep  210/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 2.4922 | ε: 0.897
Ep  220/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 3.5852 | ε: 0.892
Ep  230/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 4.1526 | ε: 0.887
Ep  240/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 4.9355 | ε: 0.882
Ep  250/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 5.6772 | ε: 0.877
Ep  260/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 6.6105 | ε: 0.872
Ep  270/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 6.4491 | ε: 0.867
Ep  280/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 7.3697 | ε: 0.862
Ep  290/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 8.1798 | ε: 0.857
Ep  300/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 8.4563 | ε: 0.852
Ep  310/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 8.7075 | ε: 0.847
Ep  320/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 8.5157 | ε: 0.842
Ep  330/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 8.2489 | ε: 0.837
Ep  340/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 8.6344 | ε: 0.832
Ep  350/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 8.1442 | ε: 0.827
Ep  360/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 8.1051 | ε: 0.822
Ep  370/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 6.7591 | ε: 0.817
Ep  380/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 7.2813 | ε: 0.812
Ep  390/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 6.5137 | ε: 0.807
Ep  400/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 5.1436 | ε: 0.802
Ep  410/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 5.2173 | ε: 0.798
Ep  420/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 4.9178 | ε: 0.793
Ep  430/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 4.4223 | ε: 0.788
Ep  440/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 4.5364 | ε: 0.783
Ep  450/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 4.2657 | ε: 0.778
Ep  460/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 4.5006 | ε: 0.773
Ep  470/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 5.3120 | ε: 0.768
Ep  480/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 4.8741 | ε: 0.763
Ep  490/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 3.4715 | ε: 0.758
Ep  500/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 3.9585 | ε: 0.753
Ep  510/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 5.9697 | ε: 0.748
Ep  520/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 3.4986 | ε: 0.743
New best score: 22 (< 1000, chưa lưu file)
Ep  530/3000 | Score:      0 | Pieces:  26 | Lines:   0 | Loss: 4.4134 | ε: 0.738
Ep  540/3000 | Score:      0 | Pieces:  27 | Lines:   0 | Loss: 3.3860 | ε: 0.733
Ep  550/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 4.3155 | ε: 0.728
Ep  560/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 3.7290 | ε: 0.723
Ep  570/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 3.5585 | ε: 0.718
Ep  580/3000 | Score:     11 | Pieces:  28 | Lines:   1 | Loss: 3.0725 | ε: 0.713
Ep  590/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2.5401 | ε: 0.708
Ep  600/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 2.9013 | ε: 0.703
New best score: 41 (< 1000, chưa lưu file)
Ep  610/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 3.1024 | ε: 0.699
Ep  620/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 2.3756 | ε: 0.694
Ep  630/3000 | Score:      0 | Pieces:  30 | Lines:   0 | Loss: 2.4984 | ε: 0.689
Ep  640/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 2.2169 | ε: 0.684
Ep  650/3000 | Score:      0 | Pieces:  27 | Lines:   0 | Loss: 2.3736 | ε: 0.679
Ep  660/3000 | Score:      0 | Pieces:  28 | Lines:   0 | Loss: 3.5541 | ε: 0.674
Ep  670/3000 | Score:      0 | Pieces:  29 | Lines:   0 | Loss: 2.7128 | ε: 0.669
Ep  680/3000 | Score:      0 | Pieces:  30 | Lines:   0 | Loss: 3.9705 | ε: 0.664
Ep  690/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 3.5662 | ε: 0.659
Ep  700/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 1.7871 | ε: 0.654
Ep  710/3000 | Score:      0 | Pieces:  27 | Lines:   0 | Loss: 2.0864 | ε: 0.649
Ep  720/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2.5359 | ε: 0.644
Ep  730/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 2.4735 | ε: 0.639
Ep  740/3000 | Score:      0 | Pieces:  26 | Lines:   0 | Loss: 2.0095 | ε: 0.634
Ep  750/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1.7434 | ε: 0.629
Ep  760/3000 | Score:     11 | Pieces:  34 | Lines:   1 | Loss: 2.3489 | ε: 0.624
Ep  770/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 2.0636 | ε: 0.619
New best score: 85 (< 1000, chưa lưu file)
Ep  780/3000 | Score:     22 | Pieces:  36 | Lines:   2 | Loss: 2.4527 | ε: 0.614
Ep  790/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 2.9299 | ε: 0.609
Ep  800/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1.8363 | ε: 0.604
Ep  810/3000 | Score:      0 | Pieces:  26 | Lines:   0 | Loss: 2.3383 | ε: 0.600
Ep  820/3000 | Score:      0 | Pieces:  33 | Lines:   0 | Loss: 2.8898 | ε: 0.595
Ep  830/3000 | Score:      0 | Pieces:  26 | Lines:   0 | Loss: 2.3849 | ε: 0.590
Ep  840/3000 | Score:     11 | Pieces:  26 | Lines:   1 | Loss: 2.5675 | ε: 0.585
