
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
======================================================================
Ep   10/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 0.0000 | ε: 0.996
Ep   20/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.0000 | ε: 0.991
Ep   30/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 77.3809 | ε: 0.986
Ep   40/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 187.2567 | ε: 0.981
Ep   50/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 305.6439 | ε: 0.976
Ep   60/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 419.6271 | ε: 0.971
Ep   70/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 561.9616 | ε: 0.966
Ep   80/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 738.2428 | ε: 0.961
Ep   90/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 878.1873 | ε: 0.956
Ep  100/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 1000.1188 | ε: 0.951
Ep  110/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1219.9814 | ε: 0.946
Ep  120/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 1215.1610 | ε: 0.941
Ep  130/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 1397.1916 | ε: 0.936
Ep  140/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 1525.4696 | ε: 0.931
Ep  150/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1522.8374 | ε: 0.926
Ep  160/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 1701.8960 | ε: 0.921
Ep  170/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 1852.4409 | ε: 0.916
Ep  180/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2083.5794 | ε: 0.911
New best score: 11 (< 1000, chưa lưu file)
Ep  190/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2134.7832 | ε: 0.906
Ep  200/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 2038.0539 | ε: 0.901
Ep  210/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 2150.1265 | ε: 0.896
Ep  220/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2054.8167 | ε: 0.891
