
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.001
Epsilon decay episodes: 2000
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep   10/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 0.0000 | ε: 0.996
New best score: 11 (< 1000, chưa lưu file)
Ep   20/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.0000 | ε: 0.991
Ep   30/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 66.3464 | ε: 0.986
Ep   40/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 129.0266 | ε: 0.981
Ep   50/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 115.5964 | ε: 0.976
Ep   60/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 104.6767 | ε: 0.971
Ep   70/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 100.6127 | ε: 0.966
Ep   80/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 97.4873 | ε: 0.961
Ep   90/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 96.8891 | ε: 0.956
Ep  100/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 99.3150 | ε: 0.951
Ep  110/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 201.9233 | ε: 0.946
Ep  120/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 167.2905 | ε: 0.941
Ep  130/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 149.6483 | ε: 0.936
Ep  140/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 149.3136 | ε: 0.931
Ep  150/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 144.1059 | ε: 0.926
Ep  160/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 153.3211 | ε: 0.921
Ep  170/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 138.3518 | ε: 0.916
Ep  180/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 138.1950 | ε: 0.911
Ep  190/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 142.3443 | ε: 0.906
Ep  200/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 140.0467 | ε: 0.901
Ep  210/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 267.5292 | ε: 0.896
Ep  220/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 221.3815 | ε: 0.891
Ep  230/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 213.0528 | ε: 0.886
Ep  240/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 205.9945 | ε: 0.881
Ep  250/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 218.8635 | ε: 0.876
Ep  260/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 217.3539 | ε: 0.871
Ep  270/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 217.3533 | ε: 0.866
Ep  280/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 220.8441 | ε: 0.861
Ep  290/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 199.5032 | ε: 0.856
Ep  300/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 212.9223 | ε: 0.851
Ep  310/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 339.2179 | ε: 0.846
Ep  320/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 335.6153 | ε: 0.841
Ep  330/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 338.3976 | ε: 0.836
Ep  340/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 307.9638 | ε: 0.831
Ep  350/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 300.8510 | ε: 0.826
Ep  360/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 335.8500 | ε: 0.821
Ep  370/3000 | Score:      0 | Pieces:  12 | Lines:   0 | Loss: 327.3679 | ε: 0.816
Ep  380/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 301.6579 | ε: 0.811
