
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.001
Epsilon decay episodes: 2000
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep   10/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.996
Ep   20/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 0.0000 | ε: 0.991
Ep   30/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 57.4919 | ε: 0.986
Ep   40/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 172.5452 | ε: 0.981
Ep   50/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 281.7108 | ε: 0.976
Ep   60/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 358.2381 | ε: 0.971
Ep   70/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 476.0098 | ε: 0.966
Ep   80/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 560.1084 | ε: 0.961
Ep   90/3000 | Score:      0 | Pieces:  10 | Lines:   0 | Loss: 683.4671 | ε: 0.956
Ep  100/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 718.0562 | ε: 0.951
New best score: 11 (< 1000, chưa lưu file)
Ep  110/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 694.6190 | ε: 0.946
Ep  120/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 818.4034 | ε: 0.941
Ep  130/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 790.4450 | ε: 0.936
Ep  140/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 966.5957 | ε: 0.931
Ep  150/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 890.4433 | ε: 0.926
