
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.001
Epsilon decay episodes: 2000
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep   10/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.996
Ep   20/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 0.0000 | ε: 0.991
New best score: 11 (< 1000, chưa lưu file)
Ep   30/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 89.7162 | ε: 0.986
Ep   40/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 163.8163 | ε: 0.981
Ep   50/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 221.5692 | ε: 0.976
Ep   60/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 327.5057 | ε: 0.971
Ep   70/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 472.6255 | ε: 0.966
Ep   80/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 579.4277 | ε: 0.961
Ep   90/3000 | Score:      0 | Pieces:   9 | Lines:   0 | Loss: 766.6690 | ε: 0.956
Ep  100/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 898.3817 | ε: 0.951
Ep  110/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1083.1016 | ε: 0.946
Ep  120/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 1162.7597 | ε: 0.941
Ep  130/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1357.9040 | ε: 0.936
Ep  140/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1432.9830 | ε: 0.931
Ep  150/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1555.2493 | ε: 0.926
Ep  160/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1618.4168 | ε: 0.921
Ep  170/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 1743.1520 | ε: 0.916
Ep  180/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 1734.6048 | ε: 0.911
New best score: 22 (< 1000, chưa lưu file)
Ep  190/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1923.7419 | ε: 0.906
Ep  200/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1945.5655 | ε: 0.901
Ep  210/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 1960.8839 | ε: 0.896
Ep  220/3000 | Score:     11 | Pieces:  25 | Lines:   1 | Loss: 2001.1142 | ε: 0.891
Ep  230/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 2133.8579 | ε: 0.886
Ep  240/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2196.0961 | ε: 0.881
Ep  250/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2451.6086 | ε: 0.876
Ep  260/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 2605.7289 | ε: 0.871
Ep  270/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2472.4328 | ε: 0.866
Ep  280/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 2471.2618 | ε: 0.861
Ep  290/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 2406.0695 | ε: 0.856
Ep  300/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 2298.6197 | ε: 0.851
Ep  310/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2255.5788 | ε: 0.846
Ep  320/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 2226.3992 | ε: 0.841
Ep  330/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 2294.6077 | ε: 0.836
Ep  340/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 2210.6263 | ε: 0.831
Ep  350/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 2164.9734 | ε: 0.826
Ep  360/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2301.2426 | ε: 0.821
Ep  370/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 2257.6672 | ε: 0.816
Ep  380/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2370.7366 | ε: 0.811
Ep  390/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 2478.6744 | ε: 0.806
Ep  400/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 2447.5721 | ε: 0.801
Ep  410/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2315.2860 | ε: 0.796
Ep  420/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 2242.6934 | ε: 0.791
Ep  430/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 2297.7322 | ε: 0.786
Ep  440/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2032.8853 | ε: 0.781
Ep  450/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 2083.4510 | ε: 0.776
Ep  460/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 2095.8443 | ε: 0.771
Ep  470/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 1991.1063 | ε: 0.766
Ep  480/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 1941.8114 | ε: 0.761
Ep  490/3000 | Score:      0 | Pieces:  22 | Lines:   0 | Loss: 1960.2919 | ε: 0.756
Ep  500/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 2004.5563 | ε: 0.751
Ep  510/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1966.1480 | ε: 0.746
Ep  520/3000 | Score:      0 | Pieces:  11 | Lines:   0 | Loss: 1994.7307 | ε: 0.741
Ep  530/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2059.4328 | ε: 0.736
Ep  540/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 2235.9498 | ε: 0.731
Ep  550/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 1977.9533 | ε: 0.726
Ep  560/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2025.2450 | ε: 0.721
Ep  570/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 2111.4646 | ε: 0.716
Ep  580/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 2013.2510 | ε: 0.711
Ep  590/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1925.9367 | ε: 0.706
Ep  600/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 1790.0178 | ε: 0.701
Ep  610/3000 | Score:     11 | Pieces:  28 | Lines:   1 | Loss: 1680.8432 | ε: 0.696
Ep  620/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 1511.5519 | ε: 0.691
Ep  630/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1686.5963 | ε: 0.686
Ep  640/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 2055.8818 | ε: 0.681
Ep  650/3000 | Score:      0 | Pieces:  24 | Lines:   0 | Loss: 2057.4645 | ε: 0.676
Ep  660/3000 | Score:      0 | Pieces:  31 | Lines:   0 | Loss: 1981.9842 | ε: 0.671
Ep  670/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 1766.4150 | ε: 0.666
Ep  680/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 1750.7967 | ε: 0.661
Ep  690/3000 | Score:      0 | Pieces:  30 | Lines:   0 | Loss: 1440.0730 | ε: 0.656
Ep  700/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 1627.6885 | ε: 0.651
Ep  710/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 1568.0083 | ε: 0.646
